linha_planilha;secretaria;unidade;programa;acao;natureza;desc_sub;valor;vinculo_atual;motivo;vinculo_proposto
667;09 - SECRETARIA DA SAÚDE;010-DIRETORIA GERAL DE URGÊNCIA E EMERGÊNCIA;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"200000,00";;vínculo em branco;01.310.0000
668;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;1.002-Reforma e Ampliação de Unidades;4.4.90.52.00-EQUIPAMENTOS E MATERIAL PERMANENTE;"MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS";"500000,00";;vínculo em branco;01.310.0000
669;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;1.002-Reforma e Ampliação de Unidades;4.4.90.52.00-EQUIPAMENTOS E MATERIAL PERMANENTE;"MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS";"100000,00";;vínculo em branco;01.310.0000
670;09 - SECRETARIA DA SAÚDE;006-HOSPITAL E MATERNIDADE MUNICIPAL AMADOR AGUIAR;0015-Atenção e Cuidado em Saúde​;1.002-Reforma e Ampliação de Unidades;;;"1,00";;vínculo em branco;01.310.0000
671;09 - SECRETARIA DA SAÚDE;001-GABINETE DA SECRETARIA DA SAÚDE;0001-Administração e Coordenação Geral​;2.006-Representações Oficiais ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"1000,00";;vínculo em branco;01.310.0000
672;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;"3.3.90.32.00-MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA";MATERIAL DESTINADO À ASSISTÊNCIA SOCIAL;"280000,00";;vínculo em branco;01.310.0000
673;09 - SECRETARIA DA SAÚDE;008-DIRETORIA GERAL DE ATENÇÃO PRIMÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.012-Manutenção de Equipamentos Públicos - Atenção Primária ;3.3.90.30.00-MATERIAL DE CONSUMO;GÁS ENGARRAFADO;"533680,00";;vínculo em branco;01.310.0000
674;09 - SECRETARIA DA SAÚDE;008-DIRETORIA GERAL DE ATENÇÃO PRIMÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.012-Manutenção de Equipamentos Públicos - Atenção Primária ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVIÇOS DE GÁS;"2841049,28";;vínculo em branco;01.310.0000
675;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"1771440,00";;vínculo em branco;01.310.0000
676;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.30.00-MATERIAL DE CONSUMO;OUTROS MATERIAIS DE CONSUMO;"300000,00";;vínculo em branco;01.310.0000
677;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;OUTROS MATERIAIS DE CONSUMO;"175981,00";;vínculo em branco;01.310.0000
678;09 - SECRETARIA DA SAÚDE;009-DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.013-Manutenção de Equipamentos Públicos - Atenção Especializada ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"SERVIÇO MÉDICO-HOSPITALAR, ODONTOLÓGICO E LABORATORIAIS";"7460121,62";;vínculo em branco;01.310.0000
679;09 - SECRETARIA DA SAÚDE;008-DIRETORIA GERAL DE ATENÇÃO PRIMÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.012-Manutenção de Equipamentos Públicos - Atenção Primária ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"SERVIÇO MÉDICO-HOSPITALAR, ODONTOLÓGICO E LABORATORIAIS";"22495672,80";;vínculo em branco;01.310.0000
680;09 - SECRETARIA DA SAÚDE;009-DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.013-Manutenção de Equipamentos Públicos - Atenção Especializada ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"SERVIÇO MÉDICO-HOSPITALAR, ODONTOLÓGICO E LABORATORIAIS";"3820484,64";;vínculo em branco;01.310.0000
