PROGRAMÁTICA,VALOR FINAL ARREDONDADO
17.001.18.541.0007.2.011.4.4.90.52.08.110.0000,"50.000,00 "
17.001.18.541.0007.2.011.3.3.50.39.08.110.0000,"300.000,00 "
17.001.18.541.0007.2.011.3.3.50.39.08.110.0000,"100.000,00 "
17.001.18.541.0007.2.011.3.3.50.39.08.110.0000,"45.000,00 "
30.001.14.242.0018.2.041.3.3.50.39.08.110.0000,"20.000,00 "
30.001.14.242.0018.2.041.3.3.50.39.08.110.0000,"200.000,00 "
30.001.14.242.0018.2.041.3.3.50.39.08.110.0000,"100.000,00 "
30.001.14.242.0018.2.041.3.3.50.39.08.110.0000,"395.000,00 "
30.001.14.242.0018.2.041.3.3.50.39.08.110.0000,"90.000,00 "
30.001.14.242.0018.2.041.3.3.50.39.08.110.0000,"240.000,00 "
30.001.14.242.0018.2.041.4.4.50.52.08.110.0000,"100.000,00 "
30.001.14.242.0018.2.041.4.4.50.52.08.110.0000,"50.000,00 "
30.001.14.242.0018.2.041.4.4.50.52.08.110.0000,"5.000,00 "
30.001.14.242.0018.2.041.3.3.50.39.08.110.0000,"300.001,00 "
36.001.14.244.0018.2.041.3.3.50.39.08.110.0000,"100.000,00 "
01.001.01.031.0003.2.042.3.3.90.14.01.110.0000,"1,00 "
01.001.01.031.0003.2.042.3.3.90.30.01.110.0000,"1.500.000,00 "
01.001.01.031.0003.2.042.3.3.90.32.01.110.0000,"1,00 "
01.001.01.031.0003.2.042.3.3.90.33.01.110.0000,"1,00 "
01.001.01.031.0003.2.042.3.3.90.35.01.110.0000,"1,00 "
01.001.01.031.0003.2.042.3.3.90.37.01.110.0000,"1,00 "
01.001.01.031.0003.2.042.3.3.90.39.01.110.0000,"35.923.658,00 "
01.001.01.031.0003.2.042.3.3.90.40.01.110.0000,"5.000.000,00 "
01.001.01.031.0003.2.042.3.3.90.47.01.110.0000,"1,00 "
01.001.01.031.0003.2.042.3.3.90.48.01.110.0000,"130.000,00 "
01.001.01.031.0003.2.042.3.3.90.92.01.110.0000,"1,00 "
01.001.01.031.0003.2.042.3.3.90.93.01.110.0000,"1,00 "
01.001.01.031.0003.2.042.4.4.90.92.01.110.0000,"1,00 "
01.001.01.122.0003.2.001.3.1.90.11.01.110.0000,"69.259.150,00 "
01.001.01.122.0003.2.001.3.1.90.13.01.110.0000,"9.654.749,00 "
01.001.01.122.0003.2.001.3.1.90.16.01.110.0000,"1,00 "
01.001.01.122.0003.2.001.3.1.90.91.01.110.0000,"1,00 "
01.001.01.122.0003.2.001.3.1.90.92.01.110.0000,"1,00 "
01.001.01.122.0003.2.001.3.1.90.94.01.110.0000,"1,00 "
01.001.01.122.0003.2.001.3.1.90.96.01.110.0000,"1,00 "
01.001.01.122.0003.2.001.3.1.91.13.01.110.0000,"3.198.857,00 "
01.001.01.122.0003.2.001.3.1.91.92.01.110.0000,"0,00 "
01.001.01.122.0003.2.001.3.3.90.08.01.110.0000,"6.669.308,00 "
01.001.01.122.0003.2.001.3.3.90.39.01.110.0000,"1,00 "
01.001.01.122.0003.2.001.3.3.90.46.01.110.0000,"4.266.932,00 "
01.001.01.122.0003.2.001.3.3.90.47.01.110.0000,"1,00 "
01.001.01.122.0003.2.001.3.3.90.49.01.110.0000,"1,00 "
01.001.01.122.0003.2.001.3.3.90.92.01.110.0000,"1,00 "
02.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"6.616.370,00 "
02.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"1.100.925,00 "
02.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"318.608,00 "
02.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
02.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"57.089,00 "
02.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
02.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"22.500,00 "
02.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"15.000,00 "
02.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"10.000,00 "
02.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"15.000,00 "
02.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"10.000,00 "
02.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"5.000,00 "
02.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"52.999,00 "
02.006.04.122.0018.2.011.3.3.90.30.01.110.0000,"8.000,00 "
02.006.04.122.0018.2.011.3.3.90.30.01.110.0000,"5.000,00 "
02.006.04.122.0018.2.011.3.3.90.39.01.110.0000,"5.000,00 "
02.006.04.131.0002.2.005.3.3.90.30.01.110.0000,"10.000,00 "
02.006.04.131.0002.2.005.3.3.90.39.01.110.0000,"10.000,00 "
02.006.04.244.0019.2.024.3.3.90.32.08.110.0000,"0,00 "
02.006.04.244.0019.2.024.3.3.90.32.03.100.0202,"9.999,00 "
02.006.08.244.0019.2.024.3.3.90.32.01.110.0000,"1,00 "
02.006.08.244.0019.2.024.3.3.90.32.03.100.0202,"69.999,00 "
02.006.08.244.0019.2.024.3.3.90.32.08.110.0000,"590.000,00 "
02.006.08.244.0019.2.024.3.3.90.32.01.110.0000,"92.995,00 "
02.006.08.244.0019.2.024.3.3.90.32.03.100.0202,"7.005,00 "
02.006.08.244.0019.2.024.3.3.90.32.01.110.0000,"4.000.000,00 "
02.006.08.244.0019.2.024.3.3.90.32.01.110.0000,"0,00 "
02.006.08.334.0017.2.004.3.3.90.30.08.110.0000,"30.000,00 "
02.006.08.334.0017.2.004.4.4.50.52.08.110.0000,"33.000,00 "
02.006.08.334.0017.2.004.3.3.90.30.01.110.0000,"120.000,00 "
02.012.04.122.0001.2.011.3.3.90.30.01.110.0000,"15.634,00 "
02.012.04.122.0001.2.011.3.3.90.30.01.110.0000,"0,00 "
02.012.04.122.0001.2.011.3.3.90.30.01.110.0000,"8.136,00 "
02.012.04.122.0001.2.011.3.3.90.30.01.110.0000,"0,00 "
02.012.04.122.0001.2.011.3.3.90.39.01.110.0000,"0,00 "
02.012.04.122.0001.2.011.3.3.90.39.01.110.0000,"0,00 "
02.012.04.122.0001.2.011.3.3.90.30.08.110.0000,"21.669,00 "
02.012.04.122.0001.2.011.3.3.90.30.08.110.0000,"25.000,00 "
04.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"25.916.319,00 "
04.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"1.056.110,00 "
04.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"3.351.585,00 "
04.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"3,00 "
04.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"58.921,00 "
